Va_step,Iteration,Applied_Voltage,Error_V_L2,Error_V_Linf,Error_n_L2,Error_n_Linf,Error_p_L2,Error_p_Linf,Residual_Poisson_L2,Residual_Poisson_Linf,Residual_n_L2,Residual_n_Linf,Residual_p_L2,Residual_p_Linf,Total_Error
0,1,0,1.2288568883112228e-05,2.014894523583166e-05,2.1136593888674887e-05,0.0001962837539522777,4.1925158373418976e-07,3.8933263628273845e-06,3.0096000608549496e-11,2.794283995860136e-10,6.483608496544413e-07,0.00035512067901743766,1.2860363272844257e-08,7.0438875825050905e-06,99.00086805779317
0,2,0,2.4331169562334813e-05,3.989459146680474e-05,2.092491936837047e-05,0.00019432091391224915,4.150591671266684e-07,3.854393099296091e-06,4.484325884403036e-11,4.1634699867974063e-10,9.676867077245732e-07,0.0005300220716695848,1.919425374731057e-08,1.0513090708069153e-05,49.25233685979765
0,3,0,3.613129969042527e-05,5.9242676115900395e-05,2.0715211948107994e-05,0.00019237770105989013,4.1090872280877706e-07,3.8158491684471745e-06,5.939322869890708e-11,5.514429763015024e-10,1.2838193001774767e-06,0.0007031744465411587,2.5464805317352607e-08,1.3947601802553055e-05,32.6702395019679
0,4,0,4.769241543592633e-05,7.819886851834212e-05,2.0507455015234037e-05,0.00019045391914791364,4.0679983005199933e-07,3.7776906769527248e-06,7.374827518689174e-11,6.847372223584001e-10,1.5967905572988623e-06,0.0008745952925116139,3.1672651372089344e-08,1.7347767786308532e-05,24.379748972197998
0,5,0,5.901793197845972e-05,9.676877066766565e-05,2.030163207702752e-05,0.00018854937389110957,4.0273207241329306e-07,3.7399137704183192e-06,8.791073678830815e-11,8.162433835025429e-10,1.9066320901404502e-06,0.0010443019236093306,3.7818418966828575e-08,2.0713932110527628e-05,19.405899822231547
0,6,0,7.011122389176039e-05,0.0001149579179156035,2.0097726754313194e-05,0.0001866638729466966,3.9870503759500406e-07,3.70251463299348e-06,1.0188292669173162e-10,9.459891807910972e-10,2.2133751937140924e-06,0.0012123114807611006,4.390272888622972e-08,2.404643479183826e-05,16.09037020112905
0,7,0,8.097562557586077e-05,0.0001327717796115735,1.989572281211156e-05,0.0001847972258950698,3.9471831738814587e-07,3.665489486986049e-06,1.1566713195585106e-10,1.0739915420548527e-09,2.517050850156086e-06,0.0013786409335252883,4.9926195707146746e-08,2.7345612446724608e-05,13.722450833487677
0,8,0,9.161443167505889e-05,0.000150215759855854,1.9695604127776464e-05,0.000182949244220411,3.9077150775452087e-07,3.6288345924809843e-06,1.292656148765332e-10,1.2002850249582167e-09,2.8176897318449334e-06,0.0015433070817994915,5.588942786066656e-08,3.061179832550682e-05,11.94678700327455
0,9,0,0.00010203089748706143,0.00016729519812130889,1.9497354722241187e-05,0.00018111974129182804,3.868642086694892e-07,3.592546246962399e-06,1.4268061236438465e-10,1.3248862911996083e-09,3.1153222044942303e-06,0.0017063265575145814,6.179302769356698e-08,3.384532234600282e-05,10.56595947603206
0,10,0,0.00011222823942056935,0.0001840153700456426,1.930095872281828e-05,0.00017930853234430816,3.829960241283171e-07,3.5566207849394764e-06,1.559143365349169e-10,1.4478118714035241e-09,3.4099783302301434e-06,0.0018677158263203002,6.763759152905635e-08,3.704651112679663e-05,9.46151669775836
0,11,0,0.00012220963536704565,0.00020038148801404532,1.9106400367542596e-05,0.0001775154344601116,3.791665620751254e-07,3.5210545775763135e-06,1.689689749652173e-10,1.569081719144689e-09,3.7016878706293805e-06,0.002027491189249221,7.342370972741417e-08,4.021568802045257e-05,8.558080353080268
0,12,0,0.00013197822504877127,0.00021639870174539055,1.8913664043248275e-05,0.0001757402665504837,3.753754344569143e-07,3.4858440323256166e-06,1.8184669096622343e-10,1.688719212245553e-09,3.990480289689927e-06,0.0021856687843438806,7.915196674478288e-08,4.3353173145716626e-05,7.805398312093132
0,13,0,0.00014153711053063208,0.00023207209914133387,1.872273423313514e-05,0.00017398284933712064,3.716222570132218e-07,3.4509855925651106e-06,1.9454962384037509e-10,1.8067369432059274e-09,4.2763847568545525e-06,0.002342264588312818,8.482294119328988e-08,4.645928342044664e-05,7.168680564323402
0,14,0,0.00015088935651684935,0.000247406706755271,1.8533595554097422e-05,0.0001722430053342633,3.679066494204542e-07,3.4164757372392442e-06,2.070798892666212e-10,1.9231651421840608e-09,4.559430149908899e-06,0.0024972944181179163,9.043720589845652e-08,4.9534332593056344e-05,6.623077132085177
0,15,0,0.00016003799080579304,0.0002624074905526186,1.8346232735706406e-05,0.00017052055883066313,3.642282351167013e-07,3.3823109805027244e-06,2.1943957922695684e-10,2.0380232565460635e-09,4.839645057933709e-06,0.0026507739325914003,9.5995327958073e-08,5.257863127476236e-05,6.150364696154416
0,16,0,0.00016898600463507519,0.0002770793564792484,1.8160630619581815e-05,0.00016881533587185128,3.6058664137260616e-07,3.348487871368815e-06,2.316307626065376e-10,2.1513341629668956e-09,5.117057784156591e-06,0.0028027186339978074,1.0149786879855284e-07,5.559248697045072e-05,5.736875760817137
0,17,0,0.00017773635308461442,0.0002914271511222921,1.7976774164993988e-05,0.0001671271642425991,3.569814991489999e-07,3.315002993360691e-06,2.4365548490887283e-10,2.263109957809486e-09,5.391696348845297e-06,0.002953143869618694,1.069453842320129e-07,5.857620410994079e-05,5.37215872594761
0,18,0,0.00018629195544927473,0.00030545566230344434,1.779464845208524e-05,0.00016545587344956236,3.534124431192652e-07,3.281852964166269e-06,2.5551576908193823e-10,2.373366169200967e-09,5.663588492106531e-06,0.003102064833285604,1.1233842451258797e-07,6.153008407882996e-05,5.0480845387121205
0,19,0,0.00019465569562499238,0.0003191696197504257,1.761423867495896e-05,0.00016380129470403753,3.49879111639259e-07,3.249034435296583e-06,2.672136155656057e-10,2.4821324163829965e-09,5.9327616766920036e-06,0.003249496566917,1.1767753439205507e-07,6.445442524896014e-05,4.758235545755506
